,B530-A :: MHCII#FITC,B710-A :: CD69#BB700,R670-A :: CD63#AF647,R730-A :: CD44#RedFluor710,R780-A :: LD#APC-eFluor780,UV379-A :: CD103#BUV395,UV515-A :: CD4#BUV496,UV610-A :: CD8a#BUV615,UV735-A :: CD86#BUV735,UV810-A :: CD45#BUV805,V431-A :: CD62L#BV421,V525-A :: XCR1#BV510,V586-A :: Ly6C#BV570,V605-A :: CD161#BV605,V677-A :: Ly6G#BV650,V710-A :: CD64#BV711,V750-A :: CD11c#BV750,V810-A :: F4_80#BV786,YG586-A :: CD3e#PE,YG610-A :: CD11b#PE-CF594,YG670-A :: CD19#PE-Cy5,YG780-A :: PD1#PE-Cy7
B530-A :: MHCII#FITC,1,0.0477667292,0.000094427,0.0000944262,0.0002832791,0.0035005699,0.1224445922,0.0478255461,0.0066348659,0.0031184403,0.0059868927,0.1904121372,0.0719966822,0.0425452633,0.0171805871,0.0040634386,0.0016054268,0.0015109743,0.000849865,0.0006609991,0.0013221199,0.0002832791
B710-A :: CD69#BB700,0.0041154595,1,0.1083071632,0.0657053793,0.0492899801,-0.0000171672,0.0003950515,0.0069104278,0.1226346562,0.0466689403,0.0001550069,0.0052220826,0.0223079456,0.026480268,0.4685570793,0.09,0.065,0.0747469986,0.000326,0.0001544713,0.0195658807,0.0095778009
R670-A :: CD63#AF647,0.0000512008,0.00665,1,0.2109020056,0.1265929629,-0.000025606,0.0000512187,0.0001024341,0.0095519214,0.0023345551,0.0002312089,0.0000257423,-0.0000513768,-0.0000513139,0.0161854751,0.002929926,0.001101,0.0005632909,0.0002048097,0.0002048077,0.1365855056,0.0155718481
R730-A :: CD44#RedFluor710,0.0023447086,0.0900975118,0.2692710907,1,0.4756417211,0.0002345115,0.0009381699,0.0016417228,0.3126120731,0.0824236901,0.0035296106,0.0009428517,0.0007056885,0.0007049052,0.039639127,0.117044011,0.046682,0.0327588883,0.0030481527,0.0025791684,0.0534886056,0.1024071749
R780-A :: LD#APC-eFluor780,0.0014658995,0.0029335459,0.0069672315,0.0310493629,1,0,0,0,0.055160501,0.6099318175,-0.0007659594,0.002319971,0.0025666597,0.0025616635,0.0058356408,0.0044679544,0.0876508694,0.4557614106,0.001975832,0.0016570193,0.0035716824,0.1
UV379-A :: CD103#BUV395,0,0.0000580667,0,0,0,1,0.0649765982,0.0058306926,0.000696841,0.0004645366,0.0075365815,0.0005842524,-0.0000582693,0.0000581971,0.0001162267,0,0.0000580663,0,0.0000580665,0.0000580663,0.0001161325,0.0000580662
UV515-A :: CD4#BUV496,0.0159054482,0.0012294345,0,0.0001366003,0,0.1114550942,1,0.2470576126,0.0189515497,0.0060132991,0.0054945964,0.2716208955,0.0780642589,0.0454018366,0.0142935374,0.0027325211,0.0006830119,0.0005464076,0.0001366014,0.0001366009,0.0004098017,0.0001366003
UV610-A :: CD8a#BUV615,0.0001197538,0.006491212,0.0017366868,0.0002394946,0.0001796207,0.0207903158,0.0106733262,1,0.1156782678,0.0321407777,0.0020422425,0.0017535466,0.0141097082,0.072657,0.0421502343,0.0087384119,0.0028759055,0.0017967313,0.055,0.11,0.075,0.0106866494
UV735-A :: CD86#BUV735,0.0000192492,0.0583702617,0.0017941332,0.0547232741,0.0510922535,0.0206637736,0.0047555544,0.0009833412,1,0.3580838301,0.0011435854,0.0000968196,-0.0000386308,0.0000192925,0.0010617816,0.0183296659,0.0276975847,0.0181606249,0.0000384985,0.0000384985,0.0002309973,0.0056128744
UV810-A :: CD45#BUV805,0.0001191738,0.0004370188,0.0003177731,0.00087396,0.0250219572,0.08,0.0158136746,0.0070570822,0.0229293347,1,0.0033613603,0.0015284312,0.000999707,0.0008379343,0.0005972685,0.0002383591,0.0013112819,0.0273759802,0.0003177786,0.0002383313,0.0003177953,0.0045835551
V431-A :: CD62L#BV421,-0.0008570934,-0.0003428399,0.0001714024,0,0,0.0044600504,0.0524354746,0.0174018155,0.0027447057,0.0012000282,1,0.0613066772,0.0114309158,0.0062057157,0.0015463747,0.0001714214,0.0001714045,0.0001714058,0,-0.0001714029,-0.0003428161,-0.0001714022
V525-A :: XCR1#BV510,0.0005098345,0.0002913305,0,0,0.0000728318,0.0000728481,0.2080607244,0.1916154631,0.0272477196,0.0095837883,0.0224730369,1,0.6894487379,0.5155234425,0.2396027054,0.0533829605,0.0201516704,0.0150285644,0.0000728324,0.0000728321,0.0000728319,0
V586-A :: Ly6C#BV570,0.0013868171,0.014697852,0.0004619525,0.0000989854,0.0001979721,0.0029824421,0.01,0.19,0.0241411185,0.0084115777,0.2098607027,0.0392565889,1,0.7281784057,0.3161343685,0.08,0.0204493491,0.0138948683,0.12,0.06,0.04,0.0053151267
V605-A :: CD161#BV605,0.0000261262,0.0123254259,0.000444175,0.0000522523,0.0000783784,0.0000783981,0.0005228856,0.341665214,0,0.0188376777,0.0590290326,0.003734526,0.4149145605,1,0.62047805,0.1293694234,0.01,0.0336355022,0.075,0.07,0.0953057181,0.0105344799
V677-A :: Ly6G#BV650,0.0000251815,0.0037749598,0.040932431,0.0100132862,0.0052725405,0.0000755653,0.0008318292,0.0461925382,0.0881861122,0.0230856449,0.077856963,0.0050348318,0.0061717502,0.06,1,0.13,0.067872588,0.0416940584,0.0005540657,0.0051448395,0.0452335104,0.0043648671
V710-A :: CD64#BV711,0.0000308352,0.1013133468,0.0285977026,0.1279267692,0.0840152703,-0.0000308428,0.0013279598,0.0004936155,0.6727403495,0.2434167276,0.1633216968,0.0100242168,0.002365273,0.0018918834,0.2999233312,1,0.4702330227,0.4009507975,0.000123341,0.0000616705,0.0039950166,0.0130012685
V750-A :: CD11c#BV750,0.0002968139,0.0192339308,0.001088,0.0221973315,0.0576252842,-0.0000494804,0.0011881824,0.0008909236,0.5414910456,0.356052597,0.1047036151,0.0071762222,0.0032916139,0.0022865817,0.0055789334,0.2084557267,1,0.708043088,0.0003957557,0.0001978744,0.0002473425,0.0086252987
V810-A :: F4_80#BV786,0.0001354986,0.0010504003,0.0029868272,0.0030888683,0.0392716755,0,0.0023092771,0.0016624688,0.0899905116,0.5364949343,0.176698917,0.0142368503,0.0061301015,0.0054038721,0.0227112258,0.021776497,0.3142140234,1,0.0004065129,0.0002032494,0.0006436759,0.0086144861
YG586-A :: CD3e#PE,0.0050862806,0.1179709113,0.000909713,0.0001881787,0.0001254523,-0.0000627408,0.0000941272,0.169751,0.0104124933,0.0028602803,0.0003462762,0.003702,0.467229,0.2184815454,0.0642839258,0.0128543441,0.0033663328,0.0021352826,1,0.348915096,0.1405088038,0.0106758705
YG610-A :: CD11b#PE-CF594,0.0039644221,0.75,0.015,0.001588173,0.0014931573,0.0074560563,0.01,0.45,0.0559839325,0.021172,0.01237963,0.01,0.05,0.48,0.23,0.05,0.01,0.0136716759,0.3,1,0.61,0.074369
YG670-A :: CD19#PE-Cy5,0.0002691696,1,0.29,0.06,0.0247597718,0,0.0000791856,0.02,0.0641029199,0.0154773633,0.0001270772,0.0000796197,0.0027154169,0.0018238968,0.5,0.075,0.021853817,0.0116118015,0.0159269891,0.0067750006,1,0.1037380257
YG780-A :: PD1#PE-Cy7,0.0005334432,0.1,0.02,0.0027891704,0.067157,0,0.0000889261,0.02,0.0290771311,0.35,0.000245308,0.0001340863,0.05,0.03,0.04,0.02,0.0489899234,0.24,0.11,0.035,0.03,1
